,Video Title,Video ID,View Count,Duration,Description,Channel Title,Published Date,Trending Until
10,CodaMOSA: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models,DOuKHfNtT7M,31,21:37,"A recording of my talk on CodaMOSA. The talk contains the same content as the presentation at ICSE'23 in Melbourne, Australia, plus a few extras (the discussion of copied tests + readability of generated tests).

Find the full paper at https://www.carolemieux.com/codamosa_icse23.pdf, DOI: https://doi.org/10.1109/ICSE48619.2023.00085",Caroline Lemieux,2023-09-05T16:00:18Z,2023-09-06T11:45:19Z
11,Harnessing RAG with Open-Source Language Models,tPXwaehj7oQ,666,58:52,"Join us for an informative workshop led by James Briggs, Staff Developer Advocate at Pinecone, and AI Influencer Matthew Berman to explore how to apply AI in practice with open source LLMs and Retrieval Augmented Generation (RAG).

We’ll learn about how (and how not) to implement RAG + open-source LLM pipelines. Covering the different open source LLMs available and their pros and cons. We’ll also talk about context windows, chunking, and advanced retrieval methods.

Take advantage of the opportunity to leverage RAG and Open Source LLMs to advance your AI projects and step towards enhancing your projects with the knowledge that can drive tangible results.",Pinecone,2023-09-05T15:22:17Z,2023-09-06T11:45:19Z
12,Large Language Models Evaluation Metrics,0RM6C680fb4,26,14:56,Colab Notebook : https://colab.research.google.com/gist/Vishesht27/ad3adf653924809125ddd23ef9840bcc/llm_evaluation-metrics.ipynb,Tensordroid,2023-09-05T09:30:00Z,2023-09-06T11:45:19Z
13,GPT Masterclass: 4 Years of Prompt Engineering in 16 Minutes,aq7fnqzeaPc,11562,16:18,"Medium article: https://medium.com/@dave-shap/become-a-gpt-prompt-maestro-943986a93b81
Slide Deck: https://github.com/daveshap/YouTube_Slide_Decks/blob/main/Business%20and%20Product/LLM%20Prompt%20Taxonomy.pdf

Large language models (LLMs) like GPT-4 have shown impressive abilities to generate humanlike text, have conversations, and demonstrate knowledge across many domains. However, there is still confusion around exactly how LLMs work and what capabilities they currently possess. This passage aims to provide a high-level taxonomy of LLM abilities and limitations.

LLMs are deep learning neural networks trained on massive text datasets to predict the next word in a sequence. This allows them to build complex statistical representations of language and accumulate world knowledge from their training data. LLMs have no explicit rules or knowledge - their capabilities emerge from recognizing patterns. 

LLMs excel at reductive operations like summarization, distillation, and extraction which condense large inputs down by identifying salient information. Summarization produces concise overviews of documents. Distillation extracts key facts and principles. Extraction retrieves targeted information like names, dates, or figures.

Transformational techniques like paraphrasing, translation, and restructuring reshape text without losing meaning. Paraphrasing rewrites text with different words/phrasing while preserving meaning. Translation converts between languages. Restructuring improves logical flow and readability. Transformations leverage LLMs' understanding of linguistic conventions and narrative flow.

Generative tasks like drafting, planning, brainstorming, and amplifying synthesize new content from limited input. Drafting can expand prompts into coherent documents. Planning formulates step-by-step strategies to achieve goals based on parameters. Brainstorming produces creative possibilities from prompts. Amplification adds explanatory details to existing text. Generative abilities are more variable but rapidly improving.

Examined through Bloom's Taxonomy, LLMs exhibit skills from basic remembering of facts to highest-level creating original content. Their statistical learning acts as a knowledge repository to query. LLMs also demonstrate strong abilities in understanding concepts, applying knowledge, analyzing passages, and evaluating content. With the right prompting, they can create novel stories, articles, and dialogue.

LLMs have vast latent knowledge not contained in their explicit training. This includes memorized facts, general world knowledge, and learned cognitive skills for tasks like translation. Latent knowledge forms a dense reservoir that requires careful probing with prompts and techniques to extract. While promising, reliance on latent knowledge highlights LLMs' need to better index and activate their own internal knowledge.

Emergent capabilities like theory of mind, implied cognition, logical reasoning, and in-context learning have arisen from recognizing intricate patterns, not hardcoded rules. Theory of mind suggests models can distinguish their own and others' perspectives. Implied cognition points to dynamic reasoning when generating text. Logical reasoning abilities hint at inferring abstract principles from data. Rapid in-context learning demonstrates knowledge acquisition abilities.

Rather than a bug, LLMs' ability to fabricate plausible statements represents a core feature of intelligence. Humans also exhibit a spectrum from creativity to hallucination based on uncontrolled pattern generation. The ideal is not suppressing but responsibly directing generation. Research into alignment and ethics can allow beneficial creativity to flourish while minimizing harms. Maintaining factual grounding and conveying uncertainty are key precautions.

In summary, LLMs have diverse capabilities and limitations requiring continued research. With responsible development focused on augmenting human intelligence, LLMs offer exciting potential while managing risks. Their latent knowledge and emergent properties highlight promising directions to elevate reasoning, creativity, and understanding.",David Shapiro ~ AI,2023-09-05T09:25:29Z,2023-09-06T11:45:19Z
14,"Modeling Language: What You Need to Know | Hugh Seaton, CEO at The Link: The ConTech Crew 372",2A1qPxepd50,14,1:9:49,"🏗️ Learn more at http://thecontechcrew.com

--
In an industry where architects, engineers, contractors, and various stakeholders must work seamlessly together, miscommunications can lead to costly delays and errors.

Enter Large Language Models (LLMs)--groundbreaking AI technology that is set to transform how construction people collaborate.

In this week’s episode, my co-host Nathan Wood and I sit down with Hugh Seaton, construction technology enthusiast, book author, and CEO at The Link.

The Link is an AI-powered software dedicated to making construction documents consumable for owners, contractors, and everyone who needs access to these. Prior to starting The Link, Hugh served as a general manager at the Construction Specifications Institute.

Today, Hugh shares invaluable insights on the real power of LLMs, their impact on the construction industry, how to leverage them, and what the future looks like in construction with the rise of AI technology!

Make sure to tune in now. You don’t want to miss it!


💡  Key Takeaways:

Introduction (00:00)
What is The Link? (05:03)
Hugh and his The Construction Technology Handbook (07:32)
Is the construction industry ready for AI? (09:38)
The availability and reliability of data (12:12)
Structured vs. semi-structured data and large language models explained (15:28)
How AI technology augments people’s jobs and not replace them (23:05)
How to manage risks in construction when using AI technology (24:56)
Strategies and competition in construction (28:00)
What the future looks like in construction (38:36)
How to better utilize AI technology in construction (41:55)
Episode wrap-up (45:05)
Construction technology news of the week (46:33)


📚 Additional Resources:

Listen to the show at http://thecontechcrew.com

Follow us on Twitter: https://twitter.com/thecontechcrew

–

Follow Hugh on LinkedIn: https://www.linkedin.com/in/hughseaton/

Visit The Link website for more: https://www.thelink.ai/

Listen to Hugh’s podcast: https://constructedfutures.com/

–

The ConTech Crew is a construction news podcast dedicated to keeping you up to date with all the latest in construction technology.

Give us a follow so you never miss an episode!

#ai #constructiontechnology #llm #Construction #News",The ConTech Crew,2023-09-05T09:00:01Z,2023-09-06T11:45:19Z
15,Introducing Fermyon Serverless AI - Execute inferencing on LLMs with no extra setup,01oOh3D9cVQ,243,2:21,"With Fermyon Serverless AI you can now execute inferencing on Large Language Models (LLMs) for Llama2 and CodeLlama models on state-of-the-art GPUs with no extra setup. Watch this video to learn more and how to get started.

00:00 Welcome
00:10 Generative AI & Large Language Model (LLM)
00:50 Putting LLM functionality in Fermyon's Serverless Framework
01:00 LLM functionality in your source code (alongside HTTP Request & Responses, Key-Value Stores and NoOps Databases)
01:33 Using Fermyon Serverless AI in Fermyon Cloud

AI Inferencing performs well on GPU infrastructure. However, the demand for GPUs is high; GPUs are scarce and expensive. Fermyon Serverless AI has solved this problem by offering 50 millisecond cold start times, over 100x faster than other on-demand AI infrastructure services. Fermyon Serverless AI (which is in private beta) brings a new tool to the full-stack developer’s toolbox. You can combine Fermyon’s NoOps SQL Database and Key-Value Storage to quickly build advanced AI-enabled serverless applications.

Sign up for private beta at https://developer.fermyon.com/cloud/serverless-ai

#ai  #llm  #serverless #genai",Fermyon,2023-09-05T09:00:01Z,2023-09-06T11:45:19Z
16,[arXiv 2023] Demo of PointLLM: Empowering Large Language Models to Understand Point Clouds,LHjAVFEzjdY,2,25,"PointLLM: Empowering Large Language Models to Understand Point Clouds
The Demo of PointLLM using Gradio. Try it at http://101.230.144.196. You can chat with PointLLM about the models of the Objaverse dataset or about your own point clouds!",Runsen Xu,2023-09-05T02:41:11Z,2023-09-06T11:45:19Z
17,Unraveling RAG: The Future of AI and Large Language Models,z_2KfFFcSzY,3,3:49,Welcome to our deep dive into the cutting-edge world of Retrieval Augmented Generation (RAG) in Artificial Intelligence! 🚀,MsOrganicBytes,2023-09-05T02:22:31Z,2023-09-06T11:45:19Z
18,Can an AI Andrew Huberman Help You Crush Your Goals?,9lEh2KtugZM,41,17:28,"Unlock Your Potential with AI - Harness the Power of Large Language Models to Achieve Your Goals

In this video, I demonstrate how to leverage large language models like Anthropic's Claude to help you achieve your goals more efficiently. I show how Claude can summarize lengthy podcasts and videos to extract the key insights quickly.

But it goes beyond just summarizing. I give Claude the transcript of neuroscientist Andrew Huberman's podcast on goal-setting. I then have a conversation with Claude, asking it questions and getting personalized advice about achieving fitness goals - all in Huberman's voice and based on his teachings!

This allows me to get customized guidance and coaching from Claude ""channeling"" Huberman's expertise. I can keep coming back to this AI coach for accountability, motivation and to overcome obstacles on my journey.

Whether your goal is health, career, relationships or more - this technique allows you to harness the knowledge of the world's top experts via AI. Save time consuming content while still extracting the value. Augment your human brain with artificial intelligence.

The future of self-improvement is leveraging AI tools like Claude. Subscribe and stay tuned as I share more ways to use AI to unlock your potential and become the best version of yourself!

Follow me on...

Twitter:  https://twitter.com/andrey_seas
Linkedin:  https://www.linkedin.com/in/andreyseas/
Instagram:  https://www.instagram.com/andreyseasofficial/",Andrey Seas - AI For Personal Development,2023-09-05T02:11:08Z,2023-09-06T11:45:19Z
19,Gorilla Large Language Model Connected with Massive APIs,g4vaAXJeKps,28,53:21,"In Todays Reading Group We Go Over The Gorilla Large Language Model Connected with Massive APIs Paper

Paper Link: https://arxiv.org/abs/2305.15334

Transcript: https://drive.google.com/drive/folders/1BSE1zxT7YJ3M_5zdO-_b4J8BsUEPXWkc?usp=drive_link",AutoGPT,2023-09-04T19:46:39Z,2023-09-06T11:45:19Z
20,Large language models #LLM #artificialintelligence #machinelearning #chatgpt #bard AI,aIygGkCZuLo,24,52,,AIB Insights,2023-09-04T18:25:22Z,2023-09-06T11:45:19Z
21,YaRN: Efficient Context Window Extension of Large Language Models,B07MNiKVIkA,201,27:35,"YaRN is a compute-efficient method to extend the context window of transformer-based language models, allowing them to effectively utilize and extrapolate to longer context lengths. It surpasses previous methods and can extrapolate beyond the limited context of a fine-tuning dataset.

00:00 Section: 1 Introduction
03:25 Section: 1.1 Acknowledgements
06:14 Section: 2.2 Positional Interpolation
08:58 Section: 2.4 Related work
12:52 Section: 3.2 Loss of Relative Local Distances - ""NTK-by-parts"" Interpolation
17:24 Section: 3.3 Dynamic Scaling - ""Dynamic NTK"" Interpolation
21:49 Section: 3.5 Extrapolation and Transfer Learning
25:01 Section: 4.2.1 Long Sequence Language Modeling

https://arxiv.org/abs//2309.00071

YouTube: https://www.youtube.com/@ArxivPapers

PODCASTS:
Apple Podcasts: https://podcasts.apple.com/us/podcast/arxiv-papers/id1692476016
Spotify: https://podcasters.spotify.com/pod/show/arxiv-papers",Arxiv Papers,2023-09-04T15:42:59Z,2023-09-06T11:45:19Z
22,AI Hallucinations: The Unseen Side of Large Language Models | AI News,_mAHoWFYRXI,3,4:,"🤖 AI Hallucinations: The Unsettling Reality of AI Mistakes 🤖

Dive deep into the world of Large Language Models (LLMs) and their tendency to ""hallucinate"" or produce false information. From innocent mistakes to potentially harmful misinformation, how do we navigate the challenges posed by these AI systems?

🔍 In this video:

- Real-life incidents where AI's hallucinations have caused distress.
- Insights from experts like Oliver Devane and Sebastian Berns on why LLMs like OpenAI’s ChatGPT produce inaccuracies.
- Techniques like Reinforcement Learning from Human Feedback (RLHF) that aim to reduce hallucinations.
- The debate on whether hallucinations can be fully eliminated or if they might have creative applications.
- A comparison of AI's imperfections with human errors and the standards we set for them.

As AI continues to evolve, understanding its limitations and potential risks is crucial. Join us as we explore the phenomenon of AI hallucinations and the ongoing efforts to address them.

👍 If you're interested in the intricacies of AI and its impact on our world, make sure to like, share, and subscribe for more in-depth discussions!

#AIHallucinations #OpenAI #LLMs",MatrixMention,2023-09-04T15:15:55Z,2023-09-06T11:45:19Z
23,Can Large Language Models be used in Science?,TGM94QSfiXM,67,1:1:38,"Presented by Prof. Giovanni De Gasperis, University of L'Aquila, Italy; chaired by Chiara Puri, University of L'Aquila, Italy

Large language models, such as GPT-3, originally developed for natural language processing, can be effectively employed in diverse scientific fields beyond human language. This seminar explores the applications of large language models in non-linguistic scientific domains. By analyzing vast amounts of scientific literature, these models can aid in scientific research, assisting with literature reviews, trend identification, and hypothesis generation. Moreover, they can be trained to analyze complex datasets, enabling data-driven decision-making and pattern recognition in various scientific disciplines. In the field of drug discovery, language models can assist in virtual screening and drug-target interaction optimization. They can also contribute to computational biology tasks, including protein folding prediction and genomics research. Additionally, these models can be applied to climate modeling, aiding weather prediction and climate change projections. However, it is crucial to emphasize that large language models should be used in conjunction with domain expertise, as they are not domain-specific experts. Adapting and fine-tuning these models for specific scientific tasks remains an ongoing area of research.

Instagram: https://www.instagram.com/thursdaymorningscienceunivaq/
Facebook: https://www.facebook.com/tms.thursdaymorningscience.1/
Linkedin: https://it.linkedin.com/in/thursday-morning-science-1a929a201
Twitter: https://twitter.com/ThursdayMornin8",Thursday morning Science,2023-09-04T13:23:05Z,2023-09-06T11:45:19Z
24,What are Large Language Models LLMs and how can I use them ?,2GUUmXHn1iU,2,4:57,"Let's explain the concepts behind Large Language Models (LLMs) and how to use them.
Illustrate using the example of ChatGPT.",Explain how to Access AI and get started using it,2023-09-04T07:21:31Z,2023-09-06T11:45:19Z
25,What Is Prompt Engineering in Software Testing?,GF1VhQxQzOc,1304,18:16,"What is Prompt Engineering? What is Prompt Engineering in Software Testing? Maybe you have asked yourself this questions already or you have heard about the term prompt engineering in combination with large language models such as GPT, bard or DALL-E.

In this video I am going to explain what prompt engineering is. Furthermore, I am going to share information with you, why prompt engineering in software testing is a complex and challenging task.

At the end of the video I am going to show you in a real life example of testRigor, how prompt engineering can be used to train a testing LLM product to get better results.

Thanks to testRigor, for being a sponsor of this video 🙏🏻.

🔗 Links:
👉 https://testrigor.com
👉 https://testrigor.com/features/
👉 https://testrigor.com/docs/language/
👉 https://testrigor.com/sign-up/
👉 https://www.promptingguide.ai/ 


📚 My Book

👉 https://leanpub.com/Mobileapptesting
👉 https://www.amazon.com/dp/B0B2GMLVHY/

👨🏽‍💻 Online course

🧑🏼‍🏫 A Beginners Guide To Mobile Testing: https://www.ministryoftesting.com/dojo/courses/beginner-s-guide-to-mobile-testing-daniel-knott by Daniel Knott 

My equipment:

📸 Hardware:

🔗 * iPhone 12: https://amzn.to/3CVbRIZ
🔗 * MacBook Pro: https://amzn.to/3CSSZdy
🔗 * Green box background: https://amzn.to/3XDEEtl
🔗 * Microphone: https://amzn.to/3XDEp1p
🔗 * LED Ring Light: https://amzn.to/3WdjgtX

💿 Software:

🔗 Camtasia https://www.techsmith.com/store/camtasia

The links marked with * are affiliate links that belong to the Amazon affiliate program. If you buy something through these links, I get a commission, of course without you having to pay more.

#softwaretesting #AIinTesting #GenerativeAI #testrigor #openAI #AI #gpt #chatGPT, #bard #dalle",Software Testing by Daniel Knott,2023-09-04T06:56:13Z,2023-09-06T11:45:19Z
26,LLMs Are Not Chatbots: 8 Ways LLM is Different From Chatbot,eqTKoadBeK0,35,16:53,"LLMs and the Chatbots solves different problems. Chatbots automate a process, while LLMS generate the next word from a given prompt. Whats important to note is LLMs cannot be effectively used for automating a process. 
The video dives into the workings of chatbot and llm. Explains the challenges and benefits of each technology. This video is the first in the series of videos which explains the design and development of the chatbots. 
 
I believe you will like this video, and subscribe to the channel. Further uploads related to Big Data, Large Language models and Artificial Intelligence will be shared to your Youtube Dashboard Directly.

The supporting playlists are 
The bard Project
https://www.youtube.com/playlist?list=PLbzjzOKeYPCoHRX30whyu0Re-YfOsJZlt
Practical Projects Playlist
https://www.youtube.com/playlist?list=PLbzjzOKeYPCpr8v5GpUwb_dq6BHgPRoui
Huggingface Playlist
https://youtube.com/playlist?list=PLbzjzOKeYPCpVfe6Up7ga3kDVwRDlEw6k
Python Data Engineering Playlist
https://www.youtube.com/playlist?list=PLbzjzOKeYPCo_hMXIl2URu7GL33-4_Yy0
Python Ecosystem of Libraries
https://www.youtube.com/playlist?list=PLbzjzOKeYPCoNAsZs679iXwsdP44G5SDS
ChatGPT and AI Playlist
https://www.youtube.com/playlist?list=PLbzjzOKeYPCpp3NCeQioevM0YpZa5VqcS
AWS and Python AWS Wrangler
https://www.youtube.com/playlist?list=PLbzjzOKeYPCogrhYDBgRNJDPV2CCwGrFT
Exploring the Realm of Generative AI: Hardware and Software Discussions
https://www.youtube.com/playlist?list=PLbzjzOKeYPColJzdASbvDq3_XUB_QM3MQ

PS: Got a question or have a feedback on my content. Get in touch 
By leaving a Comment in the video
topmate.io/insightbuilder?utm_source=topmate&utm_medium=popup&utm_campaign=SocialProfile
@mail insighthacker21@gmail.com
@twitter Handle is @KQrios
@medium https://medium.com/@kamaljp/about
@github https://github.com/Kamalabot",Kamalraj M M,2023-09-04T05:39:41Z,2023-09-06T11:45:19Z
27,ART Automatic multi step reasoning and tool use for large language models Meta 2023,W6p0kgNnI9c,17,45:39,ART Automatic multi-step reasoning and tool-use for large language models (Meta 2023),mardin mardin,2023-09-04T03:13:27Z,2023-09-06T11:45:19Z
28,Unlocking the Future: A deep dive in Large Language Models,5fi9kP4LxHs,6,4:32,"Bart, GPT-4, LlaMA, Claude LLMs. What are they and what are they used for? Which one should you use and for what tasks? Are there any differences?",EVO AI,2023-09-04T03:07:34Z,2023-09-06T11:45:19Z
29,What is large languaging models in prompt engineering ? #chatgpt #prompt #ai #ml,6jD6ULc8Ito,330,23,,Do you know ??,2023-09-04T02:30:02Z,2023-09-06T11:45:19Z
30,Fine Tuning Large Language models,YO5qzwvyV6Q,277,1:25:6,"LLM Bootcamp: Zero to Hero in LLMs

Module - 8: Fine Tuning Large Language Models by Abhishek Mishra, Tech Lead and AI Consultant at Intel",AI Planet,2023-09-04T01:33:16Z,2023-09-06T11:45:19Z
31,How to Build Large Language Models #aimodels #largelanguagemodels,NeYtwbhW3ME,33,16,"Stages of building #aimodels #llms:
1. Determine use case
2. Fine-tune for product
3. Address input- and output-level risks
4. Build transparency and reporting mechanisms in user interactions

🎥 Subscribe to my YouTube channel https://www.youtube.com/@aistudiospodcast  
💌 Sign up for my free newsletter! https://aistudios.substack.com/
🐦 Follow me on Twitter https://twitter.com/Nale
👥 Connect with me on LinkedIn https://www.linkedin.com/in/nataliaburina/",Natalia Burina,2023-09-04T01:04:45Z,2023-09-06T11:45:19Z
